event_id,schema_version,event_time,ingest_time,source_system,source_event_type,source_integrity,subject_id,subject_type,resource_id,resource_type,resource_sensitivity,activity_type,activity_outcome,source_ip,country,device_posture,privilege_level,failed_authentication,privilege_change,after_hours,high_risk_country,threat_intel_match,data_completeness,data_quality_flags,classification,purpose,retention_until,description
EVT-001,2.0.0,2026-07-01T14:05:00Z,2026-07-01T14:05:08Z,idp-demo,authentication,verified,USR-101,person,APP-001,application,low,login,success,198.51.100.10,US,compliant,standard,0,0,0,0,0,1.0,,internal,synthetic-framework-demonstration,2026-08-01T00:00:00Z,Normal successful login from a managed device
EVT-002,2.0.0,2026-07-01T02:11:00Z,2026-07-01T02:11:09Z,idp-demo,authentication,verified,USR-102,person,DB-ADMIN,database,critical,login,failure,203.0.113.22,ZZ,noncompliant,privileged,1,0,1,1,0,0.95,geo-policy-demo,internal,synthetic-framework-demonstration,2026-08-01T00:00:00Z,Failed privileged login from noncompliant device in synthetic high-risk geography
EVT-003,2.0.0,2026-07-01T15:20:00Z,2026-07-01T15:20:06Z,directory-demo,entitlement-change,verified,USR-103,person,HR-RECORDS,dataset,high,privilege-change,success,198.51.100.31,US,compliant,elevated,0,1,0,0,0,1.0,,internal,synthetic-framework-demonstration,2026-08-01T00:00:00Z,Privilege change affecting a sensitive resource
EVT-004,2.0.0,2026-07-02T01:35:00Z,2026-07-02T01:35:12Z,idp-demo,authentication,unverified,USR-104,person,PORTAL-01,application,moderate,login,failure,203.0.113.41,US,noncompliant,standard,1,0,1,0,0,0.85,source-integrity-unverified,internal,synthetic-framework-demonstration,2026-08-02T00:00:00Z,After-hours failed login from noncompliant device
EVT-005,2.0.0,2026-07-02T03:12:00Z,2026-07-02T03:12:04Z,directory-demo,entitlement-change,verified,USR-105,person,CASE-SYSTEM,application,critical,privilege-change,success,198.51.100.55,US,compliant,privileged,0,1,1,0,1,1.0,,sensitive,synthetic-framework-demonstration,2026-08-02T00:00:00Z,After-hours privilege change with recent synthetic threat-intelligence match
EVT-006,2.0.0,2026-07-02T23:10:00Z,2026-07-02T23:10:07Z,application-demo,data-access,verified,USR-106,person,FIN-REPORT,dataset,high,read,success,198.51.100.61,US,compliant,standard,0,0,1,0,0,1.0,,internal,synthetic-framework-demonstration,2026-08-02T00:00:00Z,After-hours access to a sensitive report
EVT-007,2.0.0,2026-07-03T16:42:00Z,2026-07-03T16:42:15Z,idp-demo,authentication,verified,USR-107,person,EVIDENCE-STORE,dataset,critical,login,failure,198.51.100.72,US,noncompliant,elevated,1,0,0,0,0,0.9,device-posture-delayed,sensitive,synthetic-framework-demonstration,2026-08-03T00:00:00Z,Failed access to critical store from noncompliant device
EVT-008,2.0.0,2026-07-03T00:18:00Z,2026-07-03T00:18:06Z,directory-demo,entitlement-change,verified,USR-108,person,APP-008,application,moderate,privilege-change,success,198.51.100.83,US,compliant,elevated,0,1,1,0,0,1.0,,internal,synthetic-framework-demonstration,2026-08-03T00:00:00Z,After-hours entitlement change
EVT-009,2.0.0,2026-07-03T18:09:00Z,2026-07-03T18:09:09Z,application-demo,data-access,verified,USR-109,person,PII-DEMO,dataset,high,read,success,198.51.100.94,US,noncompliant,standard,0,0,0,0,0,1.0,,sensitive,synthetic-framework-demonstration,2026-08-03T00:00:00Z,Sensitive-resource access from noncompliant device
EVT-010,2.0.0,2026-07-04T02:44:00Z,2026-07-04T02:44:11Z,idp-demo,authentication,verified,USR-110,person,ADMIN-CONSOLE,application,critical,login,failure,203.0.113.105,US,noncompliant,privileged,1,0,1,0,1,1.0,,restricted,synthetic-framework-demonstration,2026-08-04T00:00:00Z,After-hours failed privileged authentication with threat-intelligence match
EVT-011,2.0.0,2026-07-04T01:06:00Z,2026-07-04T01:06:14Z,idp-demo,authentication,unverified,USR-111,person,APP-011,application,moderate,login,failure,198.51.100.116,US,noncompliant,standard,1,0,1,0,0,0.8,source-integrity-unverified,internal,synthetic-framework-demonstration,2026-08-04T00:00:00Z,After-hours failed login from noncompliant device
EVT-012,2.0.0,2026-07-04T23:31:00Z,2026-07-04T23:31:08Z,directory-demo,entitlement-change,verified,USR-112,service-account,SVC-APP-12,service,moderate,privilege-change,success,198.51.100.127,US,compliant,privileged,0,1,1,0,0,1.0,,internal,synthetic-framework-demonstration,2026-08-04T00:00:00Z,After-hours service-account privilege change requiring dependency review
